title,author,date,link,push_count
[問題] 新光OU任務,freeself,1/24,https://www.ptt.cc/bbs/Bank_Service/M.1674566579.A.9F9.html,11
Re: [情報] 土銀112年數位存款優惠專案,goodsonic,1/25,https://www.ptt.cc/bbs/Bank_Service/M.1674619430.A.D0D.html,26
[討論] 新光OU金融卡 能否更換成Visa金融卡,dream548393,1/27,https://www.ptt.cc/bbs/Bank_Service/M.1674789266.A.589.html,13
[問題] 華南SnY戶名錯誤,swattw,1/27,https://www.ptt.cc/bbs/Bank_Service/M.1674828192.A.060.html,12
[問題] 設定了兩家自動扣繳,greecat,1/27,https://www.ptt.cc/bbs/Bank_Service/M.1674829180.A.F3B.html,5
[問題] 找不到玉山數位帳戶跨轉優惠剩餘次數,f7504261,1/30,https://www.ptt.cc/bbs/Bank_Service/M.1675044364.A.10B.html,11
Re: [問題] 找不到玉山數位帳戶跨轉優惠剩餘次數,TZUYIC,1/30,https://www.ptt.cc/bbs/Bank_Service/M.1675045384.A.2D2.html,21
[問題] 請問華南sny開戶收到華得來認證碼,kijiuioo,1/30,https://www.ptt.cc/bbs/Bank_Service/M.1675061350.A.514.html,6
[新聞] 永豐攜手警方聯防犯罪 保護民眾勿成人頭戶,ykkdc,1/30,https://www.ptt.cc/bbs/Bank_Service/M.1675077644.A.89D.html,16
Re: [問題] 華南SnY戶名錯誤,swattw,1/30,https://www.ptt.cc/bbs/Bank_Service/M.1675088877.A.FEB.html,22
[情報] 日盛網銀約定轉帳終身免手續費改成99次！,TZUYIC,1/30,https://www.ptt.cc/bbs/Bank_Service/M.1675090215.A.9A0.html,21
[問題] 花旗合併後的全球速匯選擇,s82237823,1/31,https://www.ptt.cc/bbs/Bank_Service/M.1675098873.A.9D2.html,6
[問題] 花旗CGT匯出問題,void,1/31,https://www.ptt.cc/bbs/Bank_Service/M.1675132403.A.D74.html,2
[情報] 遠銀Bankee基礎利率調至1.185%,a200895421,1/31,https://www.ptt.cc/bbs/Bank_Service/M.1675162053.A.2E2.html,28
[問題] 台新網銀app無法轉帳,sunnynoptt,1/31,https://www.ptt.cc/bbs/Bank_Service/M.1675170092.A.6C2.html,4
[問題] 富邦網銀快速登入,cjh880320,1/31,https://www.ptt.cc/bbs/Bank_Service/M.1675179913.A.068.html,4
Re: 樂天完成任務次月沒有調利率,howzming,2/01,https://www.ptt.cc/bbs/Bank_Service/M.1675212502.A.326.html,35
[閒聊] 凱基 美金定存4.8%,aisidi,2/01,https://www.ptt.cc/bbs/Bank_Service/M.1675253232.A.2ED.html,10
[問題] 約定轉帳有可能轉錯帳號嗎？,canyulu,2/01,https://www.ptt.cc/bbs/Bank_Service/M.1675262502.A.1DF.html,40
[情報] 小蜜豐點數平台換小七禮券+刷卡金,etoposide,2/02,https://www.ptt.cc/bbs/Bank_Service/M.1675302937.A.964.html,19
[新聞] Fed最新決策：持續升息措辭不變、今年不適合降息、軟著陸希,ykkdc,2/02,https://www.ptt.cc/bbs/Bank_Service/M.1675307905.A.E54.html,2
[情報] 台銀 02/01~02/28美元高利存款優惠方案,lisakings,2/02,https://www.ptt.cc/bbs/Bank_Service/M.1675327339.A.567.html,8
[問題] 中國大陸匯款回台灣方法討論,Twiceful,2/02,https://www.ptt.cc/bbs/Bank_Service/M.1675338608.A.576.html,27
Re: [情報] 日盛網銀約定轉帳終身免手續費改成99次！,aiyowaya,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675361176.A.527.html,5
[問題] 請問土銀數位帳戶可以約定帳號嗎,temu2015,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675391351.A.881.html,6
[問卷] 純網銀介面與服務黏著度調查(100P+抽獎）,davy86122,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675396106.A.1E5.html,爆
[問題] 網銀app 密碼輸錯被鎖 但可用臉部登入,s7668782,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675398782.A.30C.html,2
Re: [問題] 請問土銀數位帳戶可以約定帳號嗎,jjjj6,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675400372.A.D6F.html,
Re: [問題] 請問土銀數位帳戶可以約定帳號嗎,VBboy,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675404041.A.FE1.html,3
[問題] 現在台灣遊客能憑護照去美國開戶嗎?,jenny0904,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675405673.A.03B.html,18
[新聞] (澳洲)聯邦銀行新舉措加強轉帳與個人信息安全性,ykkdc,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675412793.A.102.html,3
[情報] 富邦 勇士悠遊簽帳金融卡,horusli,2/03,https://www.ptt.cc/bbs/Bank_Service/M.1675413372.A.878.html,13
